id,type,new,alive,request,resolve,url,subdomain,level,cname,content,public,port,status,reason,title,banner,times,ttl,resolver,module,source,elapse,find,brute,valid
70,A,1,1,1,,http://payment.huaruntong.cn,payment.huaruntong.cn,1,,"121.51.184.64,121.51.163.19,121.51.167.27,121.51.184.40,121.51.128.100,121.51.184.44",1,80,200,OK,Welcome to nginx!,nws_ocmid_hy,,,,Dataset,DNSdbAPIQuery,3.4,0,,
72,A,1,1,1,,http://image2.huaruntong.cn,image2.huaruntong.cn,1,,"121.51.184.44,121.51.128.100,121.51.167.27,121.51.184.64,121.51.184.40,121.51.163.19",1,80,200,OK,Welcome to nginx!,NWS_TCloud_S1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
77,A,1,1,1,,http://sit99jr.huaruntong.cn,sit99jr.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
78,A,1,1,1,,http://sit99-lc.huaruntong.cn,sit99-lc.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,华润通财富,nginx/1.16.1,,,,Dataset,DNSdbAPIQuery,3.4,0,,
79,A,1,1,1,,http://activity.huaruntong.cn,activity.huaruntong.cn,1,,"121.51.184.40,121.51.163.19,121.51.184.44,121.51.128.100,121.51.167.27,121.51.184.64",1,80,403,Forbidden,403 Forbidden,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
80,A,1,1,1,,http://jr.huaruntong.cn,jr.huaruntong.cn,1,,"121.51.163.19,121.51.167.27,121.51.184.40,121.51.128.100,121.51.184.44,121.51.184.64",1,80,200,OK,Welcome to nginx!,nginx,,,,Dataset,DNSdbAPIQuery,3.4,0,,
84,A,1,1,1,,http://sit99oauth2.huaruntong.cn,sit99oauth2.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Intelligence,VirusTotalQuery,3.9,0,,
85,A,1,1,1,,http://sit99srv.huaruntong.cn,sit99srv.huaruntong.cn,1,,218.13.52.129,1,80,200,OK,Welcome to nginx!,nginx/1.16.1,,,,Intelligence,VirusTotalQuery,3.9,0,,
86,A,1,1,1,,http://bd.huaruntong.cn,bd.huaruntong.cn,1,,218.13.53.57,1,80,200,OK,Welcome to nginx!,nginx,,,,Query,QianXunQuery,5.0,0,,
87,A,1,1,1,,http://lkl.huaruntong.cn,lkl.huaruntong.cn,1,,218.13.53.55,1,80,200,OK,Welcome to OpenResty!,nginx,,,,Query,QianXunQuery,5.0,0,,
90,A,1,1,1,,http://trans.huaruntong.cn,trans.huaruntong.cn,1,,218.13.53.59,1,80,200,OK,华润通首页,nginx,,,,Query,QianXunQuery,5.0,0,,
91,A,1,1,1,,http://bdopenapi.huaruntong.cn,bdopenapi.huaruntong.cn,1,,218.13.53.55,1,80,403,Forbidden,403 Forbidden,nginx,,,,Query,QianXunQuery,5.0,0,,
93,A,1,1,1,,http://dr99cloud.huaruntong.cn,dr99cloud.huaruntong.cn,1,,112.95.150.3,1,80,200,OK,Welcome to nginx!,nginx,,,,Query,QianXunQuery,5.0,0,,
41224,A,1,1,1,1,http://callcenter.huaruntong.cn,callcenter.huaruntong.cn,1,callcenter.huaruntong.cn,218.13.53.59,1,80,200,OK,华润通首页,nginx,8,600,114.114.115.115:53,Brute,Brute,426.5,0,806451,26
45435,A,1,1,1,1,http://msg.huaruntong.cn,msg.huaruntong.cn,1,msg.huaruntong.cn,218.13.53.59,1,80,200,OK,Welcome to nginx!,nginx,8,600,114.114.115.115:53,Brute,Brute,426.5,0,806451,26
47718,A,1,1,1,,http://mmd.huaruntong.cn,mmd.huaruntong.cn,1,,218.13.53.59,1,80,200,OK,Welcome to nginx!,nginx,,,,Brute,Brute,426.5,0,806451,
62272,A,1,1,1,1,http://loyalty.huaruntong.cn,loyalty.huaruntong.cn,1,loyalty.huaruntong.cn,218.13.53.59,1,80,403,Forbidden,403 Forbidden,nginx,8,600,114.114.115.115:53,Brute,Brute,426.5,0,806451,26
